business_id,name,address,city,latitude,longitude,stars,review_count,categories
j9Kaj_6tSeXmVMYCgZithg,Noble Crust,28330 Paseo Dr,Wesley Chapel,28.188219,-82.347274,4.5,496,"Restaurants, Italian, Nightlife, Southern, Bars, Breakfast & Brunch, Pizza"
EIlFs8kybcG-l60GJjNUIA,Domino's Pizza,"3800 Tampa Rd, Ste 180",Oldsmar,28.0420037,-82.6746125,2.5,20,"Pizza, Chicken Wings, Restaurants, Sandwiches"
sWCCxY1-9B1FGlSVeQvnHg,CD Roma Restaurant,1462 66th St N,St Petersburg,27.7854888011,-82.7302946082,4.0,125,"Restaurants, Wine Bars, Italian, Food, Sandwiches, Nightlife, Breweries, Bars, Pizza"
H2nFgEFitRk7ltE8IRH0xA,Taco Bell,4647 West Kennedy Blvd,Tampa,27.944918,-82.523213,2.5,42,"Restaurants, Tex-Mex, Breakfast & Brunch, Mexican, Fast Food, Tacos"
5fvs7pOE6amG17SiPovxjw,Paradise Pizza Cafe,"4810 E Busch Blvd, Ste L&M",Tampa,28.0330086,-82.4077832,2.5,7,"Restaurants, Mediterranean, Pizza, Burgers, Breakfast & Brunch, Turkish, Kebab"
WQ832PDnsDshhbQFm83ISg,Villagio Cinemas,11778 N Dale Mabry Hwy,Tampa,28.055282,-82.506247,3.0,285,"Cinema, Nightlife, Pizza, Italian, Arts & Entertainment, Burgers, Restaurants, Lounges, Bars"
SZgkdhd837HkbtVFVmSMXw,Guido's Italian Restaurant,7219 Forest Oaks Blvd,Spring Hill,28.4918471,-82.5973869,3.5,128,"Pizza, Restaurants, Italian"
p21PCK17H3WL56KSr4Ykig,ABC Pizza House,1242 W Hillsborough Ave,Tampa,27.99554,-82.4743805,4.0,121,"Restaurants, Pizza"
Xsvi9wYhD7u5XrK2EKDd8w,Five Star Pizza,10926 N 56th St,Tampa,28.0481913,-82.3942796,4.0,95,"Pizza, Restaurants"
uxJRSGuOpTv4g7U7gWANyw,Pizza Hut,5020 E Bay Dr,Clearwater,27.9179833,-82.734651,3.0,9,"Chicken Wings, Fast Food, Restaurants, Italian, Pizza"
iF_92LcvfJfrtwjHWhVb-Q,4th Street Pizza,3187 4th St N,St. Petersburg,27.801446,-82.6378064,3.0,67,"Food Delivery Services, Italian, Pizza, Food, Cheesesteaks, Restaurants"
r7sU7DuN2wM1OyjLHe6_pg,Hungry Howie's Pizza & Subs,2001 E Hillsborough Ave,Tampa,27.9956217,-82.4366429,2.5,12,"Chicken Wings, Sandwiches, Italian, Restaurants, Pizza"
YRWRq25_XCUeeqSlK1QZLA,Wall St Pizza,513 E Jackson St,Tampa,27.9475693,-82.4551823,4.0,21,"Restaurants, Pizza"
gNqYUPKGfZJycaZhCsi7xQ,Marty's Cafe,"9720 Princess Palm Ave, Ste 114",Tampa,27.9764631494,-82.3297235912,3.0,14,"Greek, American (Traditional), Restaurants, Pizza"
k-Wb-2Y2RFGlaY00_Hm8Sw,Slice Of Heaven Pizza,1366 Alt 19,Holiday,28.1790012359,-82.7431934248,3.5,66,"Restaurants, Pizza, Food Delivery Services, Food"
YlEBQLfRHocJDn4gRlgczw,Brick City Eatery,"16540 Pointe Village Dr, Ste 108",Lutz,28.189368941,-82.540934119,4.0,114,"Restaurants, Beer, Wine & Spirits, Breakfast & Brunch, Nightlife, Pizza, Chicken Wings, Bars, Sandwiches, Food, American (Traditional)"
3OGzmGqWwsyGLkhnxrA9Pw,Gourmet Pizza Company,"610 S Armenia Ave, Ste 101",Tampa,27.937948,-82.484684,4.0,185,"Pizza, Restaurants, Gluten-Free, Vegan"
oVlS3TqJLq6ogSo9tI_U0Q,Gasparilla Pizzeria & Growlers,1028 E Bloomingdale Ave,Valrico,27.894254,-82.268108,4.5,57,"Pizza, Nightlife, Chicken Wings, Beer Bar, Sandwiches, Bars, Restaurants"
cg4JFJcCxRTTMmcg9O9KtA,Ava,718 S Howard Ave,Tampa,27.936236,-82.482862,3.5,544,"Wine Bars, Desserts, Bars, American (New), Nightlife, Restaurants, Italian, Food, Salad, Breakfast & Brunch, Pizza"
ntewVyhJ6C8H0U_KkduioQ,Mise En Place Bistro,401 Channelside Dr,Tampa,27.9426726234,-82.4521769956,3.5,8,"Pizza, Nightlife, Wine Bars, Food, Bars, Comfort Food, Desserts, American (New), Restaurants"
wunF8CkjYkARgCbGwYRm3A,Driftwood Cafe,800 2nd Ave NE,St. Petersburg,27.7738335414,-82.6225407873,4.0,18,"Restaurants, Pizza, Cafes, Sandwiches"
ugSj0rWlWQ57-FuKuieGXA,Tampa Pizza Co - Westchase,9556 W Linebaugh Ave,Tampa,28.042926,-82.59231,4.0,81,"Sandwiches, Bars, Italian, Nightlife, Beer Bar, Pizza, Restaurants"
uNgurpUi-9BRM6VLEnuNKA,Roger's Chicago Beef & Pizza,,Hudson,28.3644485,-82.6934343,3.0,18,"Restaurants, Pizza"
SFafZpcCcjO28VzimGmKrQ,Pizza Hut,7213 County Road 54,New Port Richey,28.217507,-82.695356,2.0,26,"Restaurants, Pizza, Fast Food, Italian, Chicken Wings"
lmmPwUAK2F2sV3Tvx0pDHQ,Papa John's Pizza,7891 Gunn Highway,Tampa,28.08085,-82.577963,3.5,8,"Pizza, Restaurants"
p7C2l6MyJLq9lKMmUhjqMg,Papa John's Pizza,3460 East Lake Rd,Palm Harbor,28.0615217,-82.707124,3.0,18,"Pizza, Restaurants"
jlNNg4l7a1QwJCGvNeUIyQ,Marco's Pizza,2152 Corporate Ctr Dr,Trinity,28.19017,-82.62636,2.5,17,"Restaurants, Pizza"
2siLuXZHbG0KNOUgOkGiEA,Papa John's Pizza,4120 Rowan Rd,New Port Richey,28.219171,-82.6915008,2.5,12,"Pizza, Restaurants"
wHiPhPVuGnngEieDBMG00g,Mellow Mushroom - Brandon,10959 Causeway Blvd,Brandon,27.9222603996,-82.3286704227,4.0,391,"Bars, Pizza, Sandwiches, Nightlife, Restaurants"
hMD5ISDIyA-7AhigZsECJw,Hungry Howie's Pizza & Subs,"1500 34th St N, Ste 6",St. Petersburg,27.786636,-82.67996,2.0,12,"Restaurants, Italian, Chicken Wings, Pizza, Sandwiches"
SKFGoy2hlGmivK3jCODaIA,Domino's Pizza,13081 Spring Hill Dr,Spring Hill,28.4677353,-82.510825,3.0,11,"Restaurants, Pizza, Sandwiches, Chicken Wings"
u5ey9qM96IDa08ob1PI5OA,Bavaro's Pizza Napoletana and Pastaria,4100 George J Bean Pkwy,Tampa,27.9767207141,-82.5377494219,3.0,30,"Restaurants, Pizza, Italian"
ln2TenkFOODYi7AOX9we1Q,Frank's Pizza & Restaurant,1600 Virginia St,Tampa Bay,28.01231,-82.762153,3.5,116,"Restaurants, Sandwiches, Pizza, Italian"
QEOauqqX1vsGcJeN0FwyNw,Domino's Pizza,11406 N Dale Mabry Hwy,Tampa,28.0520506,-82.5047792,2.5,11,"Pizza, Sandwiches, Chicken Wings, Restaurants"
ttevmSPHu3dHUHFXBpVX9A,Pizza Hut,19010 Bruce B Downs Blvd,Tampa,28.1443924,-82.3549453,1.5,30,"Restaurants, Pizza, Italian, Fast Food, Chicken Wings"
ovLgaPIMrx7PDZPrEpTMvg,Mei's World Pizza,2592 E Bearss Ave,Tampa,28.0807642,-82.4318998,4.5,117,"Salad, Pizza, Barbeque, Soup, Restaurants, Taiwanese, Chinese"
BJ0Z74sTz9sxRr1R533Inw,Best Rate Home Services,"333 N. Falkenburg Rd, Ste B-227",Tampa Bay,27.9549045,-82.3334943,1.0,5,"Restaurants, Local Services, Movers, Home Cleaning, Home & Garden, Hardware Stores, Pizza, Junk Removal & Hauling, Shopping, Home Services"
XV-jiJ6yb0LXlh4EyEWbqQ,Joey's New York Pizza and Italian Restaurant,30681 US Hwy 19,Palm Harbor,28.0511853,-82.7370533,3.5,183,"Italian, Pizza, Restaurants"
hkuIjzyewr7RyIbKvjUQ5A,Da Pollani’s,13688 Walsingham Rd,Largo,27.8797181,-82.828024,4.5,76,"Pizza, Sicilian, Italian, Restaurants"
O4ZGS9QvvCO-mpzmn5nfDg,Calusa Pizza & Craft,17695 N Dale Mabry Hwy,Lutz,28.1269692,-82.5008361,4.5,30,"Nightlife, Restaurants, Desserts, Wine Bars, Beer, Wine & Spirits, Bars, Pizza, Food"
wm5hFxN7IePGMSyMw3zd7A,Alpha Pizzeria,8123 Ridge Rd,Port Richey,28.28109,-82.680226,3.0,45,"Salad, Restaurants, Pizza, Italian, Food, Food Delivery Services"
bw9vBLjjwyEEuDZ2kMo10Q,E and L Pizza,2810 34th St N,St. Petersburg,27.7974544,-82.6804818,4.0,45,"American (Traditional), Restaurants, Pizza"
ZXt0zo8liURaAEKD47zDRQ,Frabotta's Beach Kitchen,15031 Gulf Blvd,Madeira Beach,27.801848,-82.8018413,4.0,188,"Pizza, Sandwiches, Restaurants, Salad"
wTDuyCnQuPEvArtcX46FFQ,Proino Breakfast & Lunch,1700 S Missouri Ave,Clearwater,27.9347746,-82.7878394,4.0,25,"Restaurants, Breakfast & Brunch, Cafes, Mediterranean, American (New), Pizza, American (Traditional)"
k37i1EW_x848o_n1ATcErg,NY Pizza Grill,4337 W Kennedy Blvd,Tampa,27.944940567,-82.5168151855,1.5,102,"American (Traditional), Pizza, Italian, Restaurants"
9hF3wAjRetNz-mhf2cN-4A,Keystone Korner,18515 Crawley Rd,Odessa,28.1449765,-82.5991427,4.5,38,"Convenience Stores, Pizza, Restaurants, Salad, Food, American (New)"
xJIeT5--AiPdvPb5BRflyQ,East Coast Pizza,13340 Lincoln Rd,Riverview,27.7903607117,-82.3429241835,4.0,227,"Nightlife, Salad, Bars, Restaurants, Caterers, Chicken Wings, Sandwiches, Event Planning & Services, Pizza, Italian"
7YhxsxMgrYJsu71nadfuTQ,Campanella's Italian Restaurant & Pizza,7420 49th St,Pinellas Park,27.839665,-82.701343,3.0,103,"Restaurants, Breakfast & Brunch, Italian, Pizza"
_4CDv5gKHpPb1ALZKS4Sjw,Bro's Pizzeria & Bar,2535 E Bay Dr,Largo,27.9161635,-82.7609045,4.0,98,"Restaurants, Nightlife, Seafood, Bars, Italian, Pizza"
vPK_MN51evy0007W8NeJ6w,Domino's Pizza,1534 Bloomingdale Ave,Valrico,27.8942414,-82.2575149,3.0,18,"Chicken Wings, Pizza, Sandwiches, Restaurants"
2Ix7aG_r0mmvO1HBnIL-IA,Via Italia Woodfired Pizza & Bar,8644 Hunters Village Rd,Tampa,28.139417,-82.3577796,4.0,124,"Italian, Restaurants, Pizza"
6R1I9wFvKV1A8razp0No4g,Hungry Howie's Pizza & Subs,5802 N Armenia Ave,Tampa,28.0000757,-82.4848159,2.5,9,"Chicken Wings, Italian, Pizza, Restaurants"
JuiFuyPw2yjWiPpi3HXJ0Q,Pizza Hut,2316 James Redman Pkwy,Plant City,27.9902354,-82.1211235,2.0,20,"Restaurants, Chicken Wings, Italian, Pizza, Fast Food"
pFnoqSPstZKsnyeNBIeuZg,Angelos Pizza,2621 US Hwy 19,Holiday,28.197055,-82.740837,4.0,115,"Italian, Pizza, Restaurants, Seafood"
tUhPRgJ7mBx-1fGef7Nv3w,TJ's Italian Cafe,1515 Gulf Blvd,Indian Rocks Beach,27.8984072785,-82.8479462971,3.5,166,"Italian, Restaurants, Seafood, Pizza"
tavK8PX3ysc8DRFEB8AlTA,Quality Foods Market,16307 N Florida Ave,Lutz,28.1024492,-82.4600226,4.5,32,"Salad, Grocery, Specialty Food, Delis, Food, Beer, Wine & Spirits, Beer Bar, Nightlife, Vegan, Sandwiches, Bars, Pizza, Wine Bars, Desserts, Restaurants"
JwLuW04ZkjRIOEbTrE3YRQ,Central Pizza,7280 49th St N,Pinellas Park,27.8381796,-82.7001667,2.5,36,"Pizza, Restaurants"
1l5AyvTM4ZTeOVuFxadizA,Newk's Eatery,"2613 Gulf To Bay Blvd, Ste 1650",Clearwater,27.9600016,-82.7287208,4.0,178,"Sandwiches, Salad, American (New), American (Traditional), Pizza, Restaurants"
9svAtGS29ILNTN0eYdi3UQ,Untouchables Pasta & Pizza,1150 Clearwater Largo Rd N,Largo,27.9273775,-82.7956508,3.5,124,"Pizza, Restaurants, Italian"
dpGKdWz6y7ymYg3tpiPNDQ,Taco Bell,2016 North 50th Street,Tampa,27.963492,-82.401384,2.0,13,"Restaurants, Tacos, Tex-Mex, Breakfast & Brunch, Mexican, Fast Food"
Uc6PdjT_MO5bRPQsUUEy5Q,Anthony's Coal Fired Pizza,1901 S Dale Mabry Hwy,Tampa,27.9271341,-82.5063009,4.0,229,"Restaurants, Italian, Pizza"
lXCFcmhoRsyW-mnzzl6fkA,Ledo Pizza,14432 N Dale Mabry Hwy,Tampa,28.0795579172,-82.5071969056,4.0,112,"Chicken Wings, Pizza, Italian, Restaurants, Salad"
J5qBgjB0RX-2FdtLG39_-A,Domino's Pizza,1410 Pinehurst Rd,Dunedin,28.0234668,-82.7719399,4.5,13,"Pizza, Chicken Wings, Restaurants, Sandwiches"
s_ATCd6WGLEFvW4GNBBBUg,DiGiorgio’s Pizzeria,191 Orange St,Palm Harbor,28.0628441,-82.7768681,4.5,22,"Italian, Restaurants, Pizza, Nightlife, Wine Bars, Bars"
5Y_TiS_KJAgJMf9ZiKutEQ,Jungle Prada Tavern,1700 Park St N,Saint Petersburg,27.7886629071,-82.7528067895,3.5,118,"Salad, Bars, Pubs, Food, Restaurants, Pizza, Nightlife"
dCnvs9AVz0aBsjNWc6EtNQ,Three Brothers Pizza - Palm Harbor,3436 Tampa Rd,Palm Harbor,28.0666468,-82.7205727,4.5,92,"Salad, Pizza, Restaurants, Italian"
-HWc5-NQLKBIIlBcDMfKCw,Pizza Hut,5263 Ehrlich Rd,Tampa,28.0858899,-82.5393663,2.5,19,"Pizza, Restaurants, Chicken Wings, Italian, Fast Food"
eMffR5NKxgf1_lSJerrh-A,Caprese Pizza House,30036 County Line Rd,Wesley Chapel,28.179526,-82.319557,4.0,17,"Restaurants, Pizza, Sandwiches, Chicken Wings, Mediterranean"
y_iKWRZuUKFJFldrrP8XPg,Bambino Pizza,2028 Bayshore Blvd,Dunedin,28.0387331,-82.7845755,3.0,29,"Pizza, Italian, Food Delivery Services, Food, Restaurants, American (Traditional), Salad"
iCUYFHzotxgpi3PxopT5zQ,Limon Loco Fresh Mexican Grill,5838 54th Ave N,Saint Petersburg,27.8210044,-82.7131549,1.5,12,"New Mexican Cuisine, Tex-Mex, Food Delivery Services, Specialty Food, Pizza, Food, Mexican, Fast Food, Restaurants"
hbeMqvAA7wnZdBIMI6g1yw,Bruno’s Pizzeria,13229 US Hwy 19 S,Hudson,28.3498861,-82.6996186,4.0,10,"Restaurants, Pizza, Italian"
oIgTezEZ197Hv6nOvO1V3g,All Pediatrics,"2615 Windguard Cir, Ste 102",Wesley Chapel,28.194511,-82.3550641,1.5,6,"Health & Medical, Restaurants, Pediatricians, Doctors, Pizza"
C1gDJxB5bwsK8AWWJeP_Lg,Pizza Hut,"407 S Belcher Rd, Ste 4",Clearwater,27.9617046827,-82.745481,2.5,13,"Chicken Wings, Italian, Fast Food, Pizza, Restaurants"
